input,topic
Precise details and description of energy source usgae and step by step solution to manage energy saving ,tips
Can you me how I could lower my electricity bill?,tips
What are some ways I can save more energy at home?,tips
"I need to lower my home's energy consumption, do you have any advice?",tips
How can I save energy?,tips
Tips for saving energy costs,tips
How can my energy use be more efficient?,tips
How can I save money?,tips
Are there times during the day when the rates are lower?,tips
"I am having a hard time paying my bills, what resources are available to me?",tips
Please provide me with the most cost saving options,tips
How can I save (more) energy?,tips
Help,tips
Maybe integrated with an assistant like google home or apple siri,tips
How can I save energy?,tips
How can I save more energy? ,tips
How can I easily lower my energy usage ,tips
What can I do to make my energy use more sustainable and efficient?,tips
Tips for saving energy costs,tips
Please tell me about potential energy savings for my home.,tips
Do you have any energy saving tips for me?,tips
Let me know how to conserve energy with daily tips ,tips
How can I reduce my energy bill?,tips
"I want to start saving energy, can you maybe give me a tip if you have any?",tips
"Hey, do you have a tip for me to lower my energy consumption?",tips
How to save money on my energy bill or how to lower my energy bill,tips
I have reviewed some sources and found the perfect energy saving tip for you based on your location and current usage ,tips
Can you give me an energy saving tip for my home?,tips
How can I reduce my electric bill each month? ,tips
Are there any programs available to help me reduce my energy bill?,tips
"I'm trying to save money on my energy bills, do you have any tips?",tips
What can I do to reduce my power bill?,tips
"Hi, I am in need of some energy saving tips to help the environment ",tips
I need advice on how to save money on energy at home?,tips
Can you give me an advice?,tips
i need an energy saving tip,tips
How can I save money ,tips
How can I save money?,tips
How can I save money?,tips
How can I cut down on my electricity bill?,tips
"I need to reduce my energy consumption, do you have any tips?",tips
Can I get tips on energy saving for my home?,tips
How can I reduce energy consumption in my home,tips
Can you please help me reduce my energy costs?,tips
How do I reduce my energy bill,tips
Suggest me ways to reduce energy consumption,tips
What is an easy way to reduce my energy bill?,tips
I want to reduce energy consumption in my home. Can you give me some advice?,tips
How do I save money on energy costs?,tips
how can i reduce my energy use at home?,tips
How can i reduce energy use in my home?,tips
How can I save money with my energy bill,tips
can you show how I can save energy costs?,tips
How can I reduce energy consumption in my home?,tips
"Hi, could you provide me with some energy saving tips ",tips
How can I save energy?,tips
Could you give me some energy saving tips for in my home?,tips
How can I save energy in my home?,tips
How can I save more energy?,tips
How can I save energy?,tips
How to use less energy at home?,tips
How can I reduce my energy consumption?,tips
How can I save money?,tips
how can i reduce my electricity fee?,tips
How can I reduce energy consumption in my home?,tips
In what ways can I best reduce my energy consumption in my home?,tips
I would ask by defining whether or not the chatbot has selected appropriate programs and subsidies,resource
Can you provide me with information regarding subsidies that are available to me?,resource
Can you sign me up for energy saving program ,resource
I need to find a program in my city,resource
How can I save money on my bill?,resource
Energy saving programs  sign up,resource
Are there funds available to me to help pay energy costs?,resource
Is there help available to pay my bill?,resource
Please let me know how I can get information about the rate schedule.,resource
"I wouldn't, I would expect the chat bot to ask me and auto fill what it could",resource
Please tell me about all available subsidies,resource
How do I sign up for XYZ Program?,resource
Program list,resource
By sending me the offers by email and links to apply for the same.,resource
How can I save money on my bill?,resource
Are there any saving money programs for energy? ,resource
How can I register for a subsidy/program ,resource
Yes please sign me up! ,resource
Energy saving programs  sign up,resource
Guide me to the city website sign up for energy saving programs.,resource
I want to sign up ,resource
"Via email or text, easy access to information ",resource
Can you help me sign up for an energy subsidy in Breda?,resource
I am interested in getting a subsidy. How does it work in Utrecht?,resource
"Hey, can yoy please sign me up for this allowance?",resource
Please send the information to my email address,resource
I am in need of assistance and would appreciate it if you could provide me some resources,resource
Is there a way of getting financial aid to pay for electricity where I live?,resource
What resources related to electricity and saving energy are available in my city? ,resource
What do I need to do to enroll in these programs ?,resource
Are there any programs or resources you can sign me up for in my city?,resource
Could you sign me up for this subsidy?,resource
Yes please sign me up! ,resource
Are there any local resources you could point me to?,resource
Can you show me some resources for Utrecht?,resource
i need a program,resource
Can you sign me up for this program ,resource
Can you sign up for this please?,resource
Can you sign up for this please?,resource
Please sign me up for energy saving program,resource
Are there any resources or subsidies available in my city ,resource
Can I get the list of subsidy I can get in Amsterdam?,resource
Can you show me some programs/resources in my city?,resource
Can you show me resources for Utrecht?,resource
How do I reduce my energy bill in Tampa,resource
Show me programs/resources or subsidies in (my cities name) ,resource
Are there any programs that can help?,resource
Could you show me the local subsidy program?,resource
Could you show me programs/resources in my city?,resource
do you have some resources in the town?,resource
do you have any resources in the city?,resource
Can you connect me to some resources ,resource
can you show me if there are special programs or subsidies in Hamburg?,resource
show me programs and resources or subsidies in my city. ,resource
"chatbot, show me programs, resources and subsides in X city",resource
Is there any help around me?,resource
"Can you tell me what the available programs, resources or subsidies in Rotterdam are?",resource
Can you show me programs/resources/subsidies in [city name]?,resource
Do you know programs in the city that may help me?,resource
Are there programs that may help me?,resource
Can you give me a list of available resources (for my topic)?,resource
What resources are available in my city?,resource
Is there help available to pay my bill?,resource
is there any program to reduce my energy consumption?,resource
Where can I find programs/resources or subsidies in my city?,resource
Do you know of any programs/resources or subsidies in my city?,resource
Chat bot can define a timeline for risks associated with avoiding electricity disconnection and or shutoff,disconnection
What steps do I need to take to avoid a shutoff?,disconnection
How to prevent power from being shut off,disconnection
Please tell me how to avoid power shutoff!,disconnection
How can I keep my power from going off?,disconnection
How to avoid electricity getting shut off,disconnection
Can I get more time to pay my bill without my power being cut off?,disconnection
Please don't turn my power off!,disconnection
What can I do in order not to get cutoff?,disconnection
Do you have any resources available to help me keep my power on?,disconnection
Please inform me of any outstanding bills,disconnection
How to avoid disconnection/shutoff. How can I avoid disconnection / shutoff?,disconnection
How can I keep my power from going off?,disconnection
Can I get my electricity disconnected? ,disconnection
How can I avoid getting disconnected ,disconnection
How can I restart my electricity after a shutoff?,disconnection
How to avoid electricity getting shut off,disconnection
Tell me how to avoid electricity disconnection.,disconnection
Please give me information how I can avoid shutoff,disconnection
Can you give me info on my product before useage,disconnection
Can you provide me with information about electricity disconnection of shutoff and how I can avoid this?,disconnection
"Hey, how do I prevent that my electricity gets disconnected? ",disconnection
Who can I call to make sure my energy is not turned off,disconnection
I am afraid my electricity will be shut off and need information or resources on how to avoid this ,disconnection
How can I avoid electricity disconnection or shutoff?,disconnection
How can I keep my electricity on at the lowest cost?,disconnection
Are there any programs to help with getting my power shut off ?,disconnection
Can you provide me with information on avoiding electricity disconnection or shutoff?,disconnection
How can I prevent my power getting cut off?,disconnection
How can I be sure there won't be a disconnection,disconnection
I need help avoiding a shutoff how can you help? ,disconnection
How can I avoid electricity disconnection or shutoff?,disconnection
When will my power get cut,disconnection
Can you tell me how I can avoid being disconnected ,disconnection
How do I keep my power on?,disconnection
What can I do to avoid power getting shut off?,disconnection
Please I need help to avoid an electricity disconnection. It's very urgent!!,disconnection
Can I get tips on avoiding electricity shutoff?,disconnection
Can you give some information about electriticy or shutoff?,disconnection
Please I need help so they don't shutoff my power!!,disconnection
How do I avoid energy shutoff?,disconnection
Suggest me ways to avoid electricity disconnection or shutoff,disconnection
Please help me avoid an electricity shutoff!!,disconnection
How can I prevent electricity shutoff?,disconnection
How do i avoid electricity disconnection?,disconnection
how can i avoid shutoff?,disconnection
how can i avoid electricity shutoff?,disconnection
I don't want my electricity turned off. How can I avoid this?,disconnection
How can I avoid disconnection or shutoff?,disconnection
"chatbot, give me informaion on avoiding electricity disconnect and shutoff",disconnection
How can I avoid a power shutoff?,disconnection
How can I avoid that my electricity will be disconnected or shut of? Could you give me some information on this?,disconnection
How can I avoid an electricity disconnection or a shutoff?,disconnection
How can I avoid electricity disconnection?,disconnection
How can I avoid shutoff?,disconnection
How not to get cut off?,disconnection
How to avoid energy shutoff?,disconnection
Please don't turn my power off!,disconnection
how to avoid elctricity shutoff?,disconnection
How do I avoid my electricity shutting off?,disconnection
Can you tell me how to avoid electricity disconnection or shutoff?,disconnection
